,artists_song,track_id
193,Revoada No Colchão by Zé Felipe,4kGdnA7FzSVsXC29LPghej
194,Ela e Ela by Zé Neto & Cristiano,7pvrsbBKUQI2QmA74WCJa5
195,NO CHÃO NOVINHA by Anitta,7ARoqP7G8UYW8SyYPyPp7k
196,Meu Pedaço de Pecado by João Gomes,2kJRlOyrxsy7Ot3c5TZ8Q6
197,Molhando o Volante by Jorge & Mateus,3ITkrUvAA6gzxer2UIom3P
198,Você Beberia Ou Não Beberia? by Zé Neto & Cristiano,2ixi9HWJw5lnLDmRMsiCS5
199,Putariazinha by Felipe Amorim,2jwrYBGz7osKI31v50bS7b
200,Pandora by DJ Matt D,0yL7K9MzC20uBesZTPY81r
201,Expectativa x Realidade by Matheus & Kauan,1wdhj1r7aeWVDUl9d18YKu
202,Cê Tá Preparada - Ao Vivo Em Goiânia / 2021 by Tayrone,1tYJnXtKLoWVIL4lZOouQG
203,Baby Me Atende by Matheus Fernandes,1bWBG6IkMnDr3qvCKSvQT7
204,Ficha Limpa - Ao Vivo by Gusttavo Lima,17QN5kFprJqHdHLMj7hz4s
205,Bala Love by Mc Anjim,48Ll1C6qAnP2UjnopQDh4a
206,Acordo - Ao Vivo by Henrique & Juliano,0tM4J8aID6qYZOE3e14sCj
207,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan) by DJ Patrick Muniz",0DsPj89zlY3Us7xb5cXK5h
208,Por Supuesto by Marina Sena,7xVSNhAUQhUIpwfR6lTOwA
209,Rolê by Tarcísio do Acordeon,50gPsfGHy5OnPauA9455DM
210,Localiza Aí BB by Vitor e Luan,6fe5D0ivKnpXFMAnoSRjah
211,Carinha de Neném by Japãozin,6T6SDJszPbuMCBpSm3aS3G
212,Senta Danada by Zé Felipe,2R9IrE42Mw4zdUXAEFNiZL
213,Não Sei o Que Lá by Marília Mendonça,28m65cMH7QXHzFnZSTtNHY
214,Vestido Coladinho by Max e Luan,1d7AtPeraWVsvI4U1YTHt1
215,Sem Sentimento by DG e Batidão Stronda,4XiFqfUXyTwOChvMLKKi0T
